 1.000000 5
aaron 0.007692 11
abandon 0.014103 10
abba 0.004487 12
abbei 0.009615 11
abbrevi 0.002564 12
abc 0.059615 9
abdomen 0.001923 12
abdomin 0.003846 11
abid 0.001923 13
abigail 0.001923 12
abil 0.050641 10
able 0.086538 8
abnorm 0.012179 15
abnorma 0.005128 17
aboard 0.005128 16
abort 0.016026 14
abound 0.001923 17
abraham 0.003846 16
abridg 0.003205 18
abroad 0.003205 17
abrupt 0.002564 18
abruptli 0.004487 15
absenc 0.017949 13
absent 0.004487 15
absinth 0.002564 16
absolut 0.016026 14
absorb 0.007051 15
abstain 0.001923 18
abstract 0.002564 17
absurd 0.002564 16
abus 0.028846 12
ac 0.002564 14
academ 0.005769 13
academi 0.048077 11
acceler 0.006410 12
accent 0.005769 13
accept 0.051282 10
access 0.063462 9
accid 0.031410 10
accident 0.008333 12
acclaim 0.016667 11
accolad 0.003205 12
accommod 0.003205 13
accompani 0.000641 15
accomplic 0.000641 16
accomplish 0.000641 14
accord 0.260256 7
account 0.051923 12
accredit 0.002564 15
accumul 0.010256 14
accur 0.007051 15
accuraci 0.004487 16
accus 0.046154 13
accustom 0.001923 17
ace 0.007051 16
ach 0.005128 17
ache 0.003205 18
achiev 0.036538 15
acid 0.008974 16
acknowledg 0.000641 18
aclu 0.003205 17
acquir 0.044872 14
acquisit 0.031410 15
acquit 0.001923 17
acre 0.008333 16
act 0.074359 11
action 0.074359 12
activ 0.083333 10
activist 0.005128 11
actor 0.083974 9
actress 0.057692 11
actual 0.061538 10
acut 0.010256 11
ad 0.175000 8
ada 0.000641 16
adam 0.022436 15
adapt 0.032692 14
addict 0.015385 15
addition 0.071795 13
address 0.028846 16
adelaid 0.000641 20
adenosin 0.001923 19
adept 0.007692 18
adequ 0.014744 17
adher 0.007051 20
adjourn 0.001923 21
adjunct 0.001923 22
adjust 0.010897 19
administ 0.011538 18
administr 0.000641 20
admir 0.010256 19
admiss 0.009615 20
admit 0.052564 15
admittedli 0.000641 19
adob 0.002564 18
adolesc 0.012179 17
adolf 0.002564 19
adolph 0.004487 18
adopt 0.017949 16
ador 0.003846 18
adorn 0.001923 20
adren 0.002564 19
adrian 0.003846 17
adriana 0.002564 18
adult 0.067949 14
adulter 0.002564 17
adulthood 0.000641 18
advanc 0.049359 16
advantag 0.017949 18
advent 0.001923 20
adventur 0.008333 19
advers 0.007051 20
advertis 0.031410 17
advic 0.010897 19
advis 0.029487 18
advisori 0.008974 21
advoc 0.022436 20
advocaci 0.002564 21
aesthet 0.001923 22
affair 0.028205 19
affect 0.066026 15
affer 0.001923 20
affili 0.013462 19
affirm 0.002564 22
affleck 0.001923 24
afflict 0.001923 23
afford 0.007051 21
afi 0.007692 20
aficionado 0.000641 22
afraid 0.007051 21
africa 0.017949 18
african 0.019231 17
aftermath 0.000641 20
afternoon 0.000641 19
aftershock 0.000641 20
afterward 0.000641 18
ag 0.028846 16
age 0.088462 12
agenc 0.060897 13
agenda 0.003846 15
agent 0.044872 14
aggrav 0.002564 17
aggress 0.029487 16
agne 0.001923 17
agnieszka 0.000641 18
ago 0.035897 15
agon 0.001923 16
agoni 0.001923 17
agree 0.089103 11
agreeabl 0.002564 14
agreem 0.046795 13
agricultur 0.000641 16
