 0.166667 7
abc 0.166667 10
abrupt 0.166667 9
abus 0.166667 8
accept 0.166667 9
access 0.166667 6
accord 0.166667 9
accus 0.166667 11
addition 0.166667 12
admiss 0.166667 10
adult 0.166667 11
adulter 0.166667 8
advanc 0.166667 9
advertis 0.166667 7
agenc 0.166667 8
agree 0.166667 5
air 0.333333 9
albert 0.166667 8
alcohol 0.166667 9
ali 0.166667 7
alleg 0.333333 8
allegedli 0.166667 10
allow 0.166667 11
am 0.666667 12
america 0.166667 9
american 0.333333 10
angel 0.166667 11
angri 0.333333 12
anniversari 0.166667 6
announc 0.166667 8
anytim 0.166667 9
appar 0.333333 7
appear 0.500000 8
appropri 0.166667 4
archiv 0.166667 8
arlington 0.166667 11
arrest 0.166667 10
art 0.166667 9
artist 0.166667 7
assault 0.333333 8
assert 0.166667 9
associ 0.166667 10
assur 0.166667 6
attempt 0.333333 7
attract 0.166667 5
audienc 0.166667 7
author 0.166667 6
averag 0.166667 10
bargain 0.333333 9
barne 0.166667 8
bas 0.166667 11
basi 0.166667 10
batteri 0.166667 11
battle 0.166667 9
bbc 0.166667 12
believ 0.166667 11
binge 0.166667 12
bit 0.166667 13
bize 0.166667 10
bought 0.166667 7
brief 0.333333 8
british 0.166667 9
broadcast 0.166667 3
bullock 0.166667 5
busi 0.166667 7
cable 0.166667 6
california 0.166667 7
call 0.166667 4
camera 0.166667 7
captur 0.166667 6
castle 0.166667 10
cb 0.166667 11
celebr 0.166667 9
central 0.166667 8
charg 0.166667 12
charge 0.333333 11
charit 1.000000 13
checker 0.166667 12
chief 0.166667 10
chronicl 0.166667 9
citi 0.166667 7
clarke 0.166667 5
clause 0.166667 6
close 0.166667 10
colleagu 0.166667 9
collect 0.166667 8
column 0.166667 7
comment 0.333333 8
commit 0.166667 2
common 0.166667 4
confidenti 0.166667 3
confirm 0.166667 4
contact 0.166667 5
contagi 0.166667 1
contract 0.166667 4
contractu 1.333333 6
control 0.166667 5
controversi 0.166667 3
corridor 0.166667 5
cost 0.166667 6
count 0.166667 7
course 0.166667 8
court 0.166667 4
courtroom 0.166667 9
cover 0.166667 8
coverag 0.166667 10
create 0.166667 9
current 0.166667 7
dai 0.166667 6
david 0.166667 8
daytim 0.166667 7
deal 0.166667 5
death 0.166667 6
decreas 0.166667 2
dedic 0.166667 5
deni 0.166667 4
depress 0.166667 3
design 0.166667 4
despit 0.166667 0
detail 0.833333 8
diagnos 0.166667 7
disappear 0.166667 6
disappoint 0.166667 5
diseas 0.166667 4
dismiss 0.166667 8
docum 0.166667 7
documentari 0.166667 6
domin 0.166667 5
draw 0.166667 7
driven 0.166667 9
drop 0.666667 8
drug 0.166667 9
due 0.166667 6
earlier 0.333333 7
easili 0.166667 3
edt 0.166667 7
effort 0.166667 9
